"文件名","标题","作者","期刊名","年份","卷号","期号","页码","DOI","关键词","摘要"
"Stepwise Self-Assembly of Discrete Molecular Honeycomb Using Metallo-Organic Ligand - Chem Commun - Vol53 - 2017 - Wu et al.pdf","Stepwise Self-Assembly of a Discrete Molecular Honeycomb Using a Multitopic Metallo-Organic Ligand","Tun Wu, Jie Yuan, Bo Song, Yu-Sheng Chen, Mingzhao Chen, Xiaobo Xue, Qianqian Liu, Jun Wang, Yi-Tsu Chan, Pingshan Wang","Chemical Communications","2017","53","48","6732-6735","10.1039/C7CC03715E","蜂巢结构 (Honeycomb), 分形 (Fractal), 金属有机配体 (Metallo-organic ligand), 逐步自组装 (Stepwise self-assembly), 三联吡啶 (Terpyridine), 配位驱动自组装 (Coordination-driven self-assembly), 离散超分子 (Discrete supramolecule), 六边形大环 (Hexagonal macrocycle)","Self-assembly of a metallo-organic ligand, composed of an inner uncomplexed 120-degree-bis(terpyridine) and an outer extended free 120-degree-bis(terpyridine) linked by a triple <tpy-Ru2+-tpy> connector, and complexed with Zn2+, gave rise to a discrete planar supramolecular honeycomb patterned fractal. The central metallo-hexagon was surrounded by six identical metallo-hexagons which perfectly mimicked the natural simple honeycomb structure."
"Stereoselective Synthesis of a Composite Knot with Nine Crossings - Nat Chem - Vol10 - 2018 - Zhang and Leigh.pdf","Stereoselective Synthesis of a Composite Knot with Nine Crossings","Liang Zhang, Alexander J. Stephens, Alina L. Nussbaumer, Jean-Francois Lemonnier, Pia Jurcek, Inigo J. Vitorica-Yrezabal, David A. Leigh","Nature Chemistry","2018","10","11","1083-1088","10.1038/s41557-018-0124-6","molecular knots, composite knots, stereoselective synthesis, circular helicates, ring-closing metathesis, topological chirality, writhe, supramolecular chemistry, self-assembly","报道了含有三个同手性三叶结缠绕（trefoil tangles）的九交叉分子复合结（+₃₁#+₃₁#+₃₁ composite knot）和 9₃⁷ 链（一种环状 [3]索烃，拓扑上约束为始终至少包含三个扭转）的同步合成。两种化合物都具有高度的拓扑扭转（topological writhe, w = 9），这是超螺旋 DNA 的结构特征。纠缠产物由六聚体 Fe(II) 环形螺旋体通过关环烯烃复分解反应环化生成，不同配体连接模式产生不同的拓扑异构体混合物。金属配位的复合结通过结晶分离，拓扑结构由串联质谱明确证实，X 射线晶体学确认该 324 原子环自身交叉九次，每个分子中每个金属中心具有匹配的手性（全 Delta 或全 Lambda）。"
"Stoichiometric Self-Assembly of Bowtie and Butterfly Structures - J Am Chem Soc - Vol134 - 2012 - Chan et al.pdf","Stoichiometric Self-Assembly of Isomeric, Shape-Persistent, Supramacromolecular Bowtie and Butterfly Structures","Anthony Schultz, Xiaopeng Li, Balaka Barkakaty, Charles N. Moorefield, Chrys Wesdemiotis, George R. Newkome","Journal of the American Chemical Society","2012","134","18","7672-7675","10.1021/ja303177v","化学计量自组装 (Stoichiometric self-assembly), 领结结构 (Bowtie), 蝴蝶结构 (Butterfly), 构造异构体 (Constitutional isomers), 三联吡啶 (Terpyridine), 形状持久性 (Shape-persistent), 超大分子 (Supramacromolecular), 双环结构 (Bicyclic architecture)","Two novel macromolecular constitutional isomers have been self-assembled from previously unreported terpyridine ligands in a three-component system. The terpyridine ligands were synthesized in high yields via a key Suzuki coupling. Restrictions of the possible outcomes for self-assembly ultimately provided optimum conditions for isolation of either a molecular bowtie or its isomeric butterfly motif. These isomers have been characterized by ESI-MS, TWIM-MS, 1H NMR, and 13C NMR. Notably, these structural isomers have remarkably different drift times in ion mobility separation, corresponding to different sizes and shapes at high charge states."
"Stoichiometric Self-Assembly of Bowtie and Butterfly Structures - J Am Chem Soc - Vol134 - 2012 - Chan et al.pdf","Stoichiometric Self-Assembly of Shape-Persistent 2D Complexes: A Facile Route to a Symmetric Supramacromolecular Spoked Wheel","Jin-Liang Wang, Xiaopeng Li, Xiaocun Lu, I-Fan Hsieh, Yan Cao, Charles N. Moorefield, Chrys Wesdemiotis, Stephen Z. D. Cheng, George R. Newkome","Journal of the American Chemical Society","2011","133","29","11450-11453","10.1021/ja203645m","三联吡啶, 辐条轮, 超分子大环, 多组分自组装, 配位驱动自组装, 形状持久性, 二维D6h对称, Cd(II)配合物, Zn(II)配合物, TWIM-MS","报道了一种多组分配位驱动自组装方法，构建了首个基于三联吡啶的形状持久性巨型二维D6h超分子辐条轮。将核心T6、轮辋T3和Zn(II)或Cd(II)离子以化学计量比1:6:12混合，通过几何和热力学控制选择性生成高度对称的辐条轮，Cd(II)组装体的分离产率高达94%。产物通过行波离子迁移率质谱(TWIM-MS)、NMR技术和TEM成像进行了表征，结果与计算模拟一致。"
"Strong and Selective Anion Binding within Molecular Knots and Links - J Am Chem Soc - Vol137 - 2015 - Ayme and Leigh.pdf","Strong and Selective Anion Binding within the Central Cavity of Molecular Knots and Links","Jean-Francois Ayme, Jonathon E. Beves, Christopher J. Campbell, Guzman Gil-Ramirez, David A. Leigh, Alexander J. Stephens","Journal of the American Chemical Society","2015","137","31","9812-9815","10.1021/jacs.5b06340","anion binding, molecular knots, molecular links, pentafoil knot, Solomon link, Star of David catenane, circular helicates, halide recognition, hydrogen bonding, supramolecular chemistry","基于环形 Fe(II) 双螺旋体骨架的分子五叶结（pentafoil knot）、双重缠绕 [2]索烃（Solomon link）和三重缠绕 [2]索烃（Star of David catenane）通过静电作用和 CH...X⁻ 氢键在其中心腔内结合卤素阴离子。结合强度在乙腈中高达 (3.6 +/- 0.2) x 10¹⁰ M⁻¹（五叶结 [2·Cl](PF₆)₉），使这些拓扑复杂的主体分子成为迄今测量的最强合成非共价卤素阴离子结合剂之一，其氯离子亲和力可与银盐相比拟。"
"Supercharged Precise Megametallodendrimers Single-Step Assembly - J Am Chem Soc - Vol139 - 2017 - Xie et al.pdf","Supercharged, Precise, Megametallodendrimers via a Single-Step, Quantitative, Assembly Process","Ting-Zheng Xie, Xiaolei Wu, Kevin J. Endres, Zaihong Guo, Xiaocun Lu, Jingyi Li, Erendra Manandhar, James M. Ludlow III, Charles N. Moorefield, Mary Jane Saunders, Chrys Wesdemiotis, George R. Newkome","Journal of the American Chemical Society","2017","139","44","15652-15655","10.1021/jacs.7b10328","金属树枝状分子, 超级电荷, 单步组装, 立方八面体, 三联吡啶, Ru(II)配合物, Zn(II)配合物, 配位驱动自组装, 3D超分子笼, ESI-IM-MS","巨型单分子树枝状分子的合成具有挑战性，部分原因在于在更高代数时，收敛和发散方案中的多步构建/纯化过程都会遇到困难。本文报道了一种混合合成程序，其中核心最后构建。这种定量组装生成了一种超级电荷(120+)、大尺寸(直径11.3 nm)的金属树枝状分子，其核心先前已被建立。该系列配合物已通过NMR、ESI-IM-MS和TEM技术进行了明确表征。"
"Supersnowflakes Stepwise Self-Assembly Rhombus Star-Shaped - J Am Chem Soc - Vol139 - 2017 - Zhang et al.pdf","Supersnowflakes: Stepwise Self-Assembly and Dynamic Exchange of Rhombus Star-Shaped Supramolecules","Zhe Zhang, Heng Wang, Xu Wang, Yiming Li, Bo Song, Olapeju Bolarinwa, R. Alexander Reese, Tong Zhang, Xu-Qing Wang, Jianfeng Cai, Bingqian Xu, Ming Wang, Changlin Liu, Hai-Bo Yang, Xiaopeng Li","Journal of the American Chemical Society","2017","139","24","8174-8185","10.1021/jacs.7b01326","超级雪花, 菱形星形结构, 逐步自组装, 动态交换, 三联吡啶, Ru(II)-有机配体, Zn(II)配合物, 异配体超分子, 多组分自组装, 二维刚性结构","以增加金属超分子复杂性为目标，设计并以逐步方式使用多个2,2':6',2''-三联吡啶(tpy)配体组装了两个菱形星形超分子架构——超级雪花。在多组分自组装设计中，双齿和三齿配体通过具有强配位的Ru(II)桥连形成金属-有机配体，用于随后与六齿配体和Zn(II)的自组装。具有高稳定性的Ru(II)-有机配体与弱配位Zn(II)离子的组合在巨型异配体超级雪花的自组装中发挥了关键作用，每个结构包含三种类型的tpy基有机配体和两种金属离子。此外，两种超级雪花的分子内和分子间动态交换研究通过NMR和质谱揭示了这些巨型超分子配合物的显著稳定性。"
"Supramolecular Kandinsky Circles (duplicate) - Nat Commun - Vol9 - 2018 - Wang et al.pdf","Supramolecular Kandinsky Circles with High Antibacterial Activity","Heng Wang, Xiaomin Qian, Kun Wang, Ma Su, Wei-Wei Haoyang, Xin Jiang, Robert Brzozowski, Ming Wang, Xiang Gao, Yiming Li, Bingqian Xu, Prahathees Eswara, Xin-Qi Hao, Weitao Gong, Jun-Li Hou, Jianfeng Cai, Xiaopeng Li","Nature Communications","2018","9","1","1815","10.1038/s41467-018-04247-z","Kandinsky圆, 嵌套六角形, 超分子抗菌, MRSA, 三联吡啶, Cd(II)配合物, 吡喃鎓盐, 分层自组装, 管状纳米结构, 离子通道","嵌套同心结构广泛存在于自然界和设计系统中，具有共享同一中心或轴线的圆形、多边形、多面体和球体。在超分子水平上构建离散的嵌套架构仍然具有挑战性。本文设计并组装了三代(G2-G4)巨型嵌套超分子——Kandinsky圆，分子量分别为17964、27713和38352 Da。在配体制备中，应用了前体与伯胺和吡喃鎓盐之间的连续缩合反应来模块化合成。这些离散的嵌套超分子倾向于通过分层自组装形成管状纳米结构。此外，嵌套超分子对革兰氏阳性病原体耐甲氧西林金黄色葡萄球菌(MRSA)显示出高抗菌活性，对真核细胞的毒性可忽略不计，而相应的配体不显示强抗菌活性。"
"TPE-Based Supramolecular Metallacycles and Cages with Anion-Dependent AIE - J Am Chem Soc - Vol138 - 2016 - Yan et al.pdf","Light-Emitting Superstructures with Anion Effect: Coordination-Driven Self-Assembly of Pure Tetraphenylethylene Metallacycles and Metallacages","Xuzhou Yan, Ming Wang, Timothy R. Cook, Mingming Zhang, Manik Lal Saha, Zhixuan Zhou, Xiaopeng Li, Feihe Huang, Peter J. Stang","Journal of the American Chemical Society","2016","138","14","4580-4588","10.1021/jacs.6b00846","Tetraphenylethylene, Aggregation-induced emission, Metallacycles, Metallacages, Coordination-driven self-assembly, Platinum(II), Anion effect, Counteranion, AIE, Fluorescence","本文报道了基于四苯乙烯（TPE）的二铂(II)受体的合成及其X射线晶体学分析，并利用配位驱动自组装方法构建了纯TPE基的2D六边形金属环和3D鼓状金属笼，分别含有三种不同的抗衡阴离子。金属环中TPE供体和受体单元交替排列，12个悬挂苯基沿外围排列，为聚集诱导发光（AIE）行为提供了基础。金属笼同样由TPE基构筑单元构建。抗衡阴离子对组装体光物理性质的影响被系统研究，摩尔吸光系数、荧光发射强度和量子产率在CH2Cl2中遵循PF6- > OTf- > NO3-的顺序，该趋势同样适用于聚集态下的AIE特性。"
"Template-Directed Synthesis of Molecular Nanorings and Cages - Acc Chem Res - Vol51 - 2018 - Bols and Anderson.pdf","Template-Directed Synthesis of Molecular Nanorings and Cages","Pernille S. Bols, Harry L. Anderson","Accounts of Chemical Research","2018","51","9","2083-2092","10.1021/acs.accounts.8b00313","Template-directed synthesis, Molecular nanorings, Molecular cages, Porphyrin, Oligopyridine templates, Vernier templating, Caterpillar track complexes, Russian doll complexes, Macrocyclization, pi-Conjugated metalloporphyrin oligomers","本综述讨论了模板作为分子构建工具的应用。模板组织反应物并提供信息以促进特定产物的形成，但本身不是最终产物的一部分。作者开发了多种利用寡吡啶作为模板合成炔基连接的pi共轭金属卟啉寡聚物的策略。这些化合物包括一些有史以来最大的大环分子，如直径为21 nm、含有750个C-C键环的50-卟啉环。经典模板导向大环化反应适用于5-7个卟啉单元的纳米环，而更大的环（8个或更多卟啉单元）最容易通过""非经典""策略制备，其中多个小模板协同工作引导大环的形成。Vernier方法、履带轨道复合物和俄罗斯套娃复合物等策略被详细讨论。"
"Terpyridine-Based Metallomacrocyclic Architectures - Chem Commun - 2005 - Hwang et al.pdf","Construction of Triangular Metallomacrocycles: [M3(1,2-bis(2,2':6',2''-terpyridin-4-yl-ethynyl)benzene)3] [M = Ru(II), Fe(II), 2Ru(II)Fe(II)]","Seok-Ho Hwang, Charles N. Moorefield, Frank R. Fronczek, Olena Lukoyanova, Luis Echegoyen, George R. Newkome","Chemical Communications","2005","-","6","713-715","10.1039/B409348H","三联吡啶, 金属三角形, 金属大环, Fe(II)配合物, Ru(II)配合物, 异核配合物, 1,2-二乙炔基苯, 60度角配体, 配位驱动自组装, 电化学性质","通过预设计的具有60度角的1,2-双(2,2':6',2''-三联吡啶-4-基-乙炔基)苯配体与过渡金属[Fe(II)和Ru(II)]的配合，实现了三角形金属大环的自组装构建。该工作展示了利用tpy-M(II)-tpy连接方式构建形状持久、紧密堆积的三角形架构的可行性，并通过逐步方法实现了不同金属中心的特异性引入。"
"Truncated Sierpinski Triangular Assembly from Molecular Mortise-Tenon Joint - J Am Chem Soc - Vol140 - 2018 - Chen et al.pdf","Truncated Sierpinski Triangular Assembly from a Molecular Mortise-Tenon Joint","Mingzhao Chen, Jun Wang, Shi-Cheng Wang, Zhilong Jiang, Die Liu, Qianqian Liu, He Zhao, Jun Yan, Yi-Tsu Chan, Pingshan Wang","Journal of the American Chemical Society","2018","140","38","12168-12174","10.1021/jacs.8b07248","多组分自组装, 三联吡啶, 金属有机配体(MOL), Sierpinski三角形, 榫卯连接(mortise-tenon joint), 配位驱动自组装, 星形超分子, 截断分形结构","将不同组分融合成一个巨大而复杂的结构，通过分子设计实现定量且自发的组装是不可或缺但具有挑战性的。为构建新型金属超分子结构，本文提出了一种基于多组分自组装的建筑设计原理。使用精心设计的六齿三联吡啶基金属有机配体(MOL) [Ru2T2K]，报道了超分子梯形Zn5[Ru2T2K]V2、空心六边形Zn15[Ru2T2K]3K3和巨型星形超分子Zn18[Ru2T2K]3[Ru2X2V]3的形成，它们均通过[Ru2T2K]与二齿60度双三联吡啶V、四齿三联吡啶K和MOL [Ru2X2V]的一锅法近定量组装获得。互补配体基于尺寸和形状匹配原则选择，类似于榫卯连接对齐并锁定两个互补木构件。多价连接使稳定组装体的形成成为可能，并通过NMR、ESI-MS、TWIM-MS和TEM分析进行了明确表征。"
"d4qo01373e.pdf","Selective Halide Ion Binding Templation Effect for a Quadruple-Stranded-Helicate Enabling the Activation of C–Br Bonds","Lei Fu, Yang Liu, Zhiyuan Jiang, Zhe Zhang, Qixia Bai, Yu-Qing Li, Zhi Chen, Xiaopeng Li, Pingshan Wang, Tun Wu","Organic Chemistry Frontiers","2024","11","21","6110–6116","10.1039/d4qo01373e","halide ion binding, templation effect, quadruple-stranded helicate, C–Br bond activation, terpyridine, coordination-driven self-assembly, Friedel–Crafts alkylation, anion binding catalysis","Here, we report the investigation of the mechanism of an anion-induced templation effect, in which nucleophilic anions serving as a ligand competitor destroy the partial coordination bonds of a library of metallo-macrocycles and form quadruple-stranded helicates with a vacant cavity. Due to its shape and size complementarity, the quadruple-stranded helicate can encapsulate spherical halide ions with moderate binding strength and specific selectivity. Through the halophilic templation effect, it is capable of binding and stabilizing bromide within the central cavity of the quadruple-stranded helicate, which has been exploited to promote C–Br bond cleavage. The dibenzhydryl carbocation (Ph₂CH⁺) generated by the templation effect is an ideal electrophile that can react with various nucleophiles. Therefore, the library can efficiently catalyze a series of organic reactions including hydrolysis, alcoholysis, Ritter reaction and Friedel–Crafts benzylation of arenes and heteroarenes."
"self-assembly-of-metallo-supramolecules-with-dissymmetrical-ligands-and-characterization-by-scanning-tunneling.pdf","Self-Assembly of Metallo-Supramolecules with Dissymmetrical Ligands and Characterization by Scanning Tunneling Microscopy","Junjuan Shi, Yiming Li, Xin Jiang, Hao Yu, Jiaqi Li, Houyu Zhang, Daniel J. Trainer, Saw Wai Hla, Heng Wang, Ming Wang, Xiaopeng Li","Journal of the American Chemical Society","2021","143","3","1224–1234","10.1021/jacs.0c12508","dissymmetrical ligands, coordination-driven self-assembly, scanning tunneling microscopy, terpyridine, isomeric structures, metallo-supramolecules, double-layered metallocycles","Asymmetrical and dissymmetrical structures are widespread and play a critical role in nature and life systems. In the field of metallo-supramolecular assemblies, it is still in its infancy for constructing artificial architectures using dissymmetrical building blocks. Herein, we report the self-assembly of supramolecular systems based on two dissymmetrical double-layered ligands. With the aid of ultra-high-vacuum, low-temperature scanning tunneling microscopy (UHV-LT-STM), we were able to investigate four isomeric structures corresponding to four types of binding modes of ligand LA with two major conformations complexes A. The distribution of isomers measured by STM and total binding energy of each isomer obtained by density functional theory (DFT) calculations suggested that the most abundant isomer could be the most stable one with highest total binding energy. Finally, through shortening the linker between inner and outer layers and the length of arms, the arrangement of dissymmetrical ligand LB could be controlled within one binding mode corresponding to the single conformation for complexes B."
"wang-et-al-2021-multidimensional-mass-spectrometry-assisted-metallo-supramolecular-chemistry.pdf","Multidimensional Mass Spectrometry Assisted Metallo-Supramolecular Chemistry","Heng Wang, Chenxing Guo, Xiaopeng Li","CCS Chemistry","2022","4","3","785–808","10.31635/ccschem.021.202101408","mass spectrometry, ion mobility, self-assembly, metallo-supramolecules, ESI-MS, TWIM-MS, tandem MS","Metallo-supramolecular chemistry based on the reversible, directional, and predictable noncovalent interaction of metal–ligand coordination has been widely applied in constructing a myriad of two- and three-dimensional supramolecules with sophisticated structures. The development of metallo-supramolecular chemistry highly relies on facile characterization methods. For advancement of structural complexity with desired functions, however, conventional crystallographic and spectroscopic characterizations are limited by crystal growth, sample purity, and severe signal overlaps. With high sensitivity and low requirement for purity, multidimensional mass spectrometry (MS), including electrospray ionization-MS (ESI-MS), tandem MS (MS²), and ion mobility-MS (IM-MS), is emerging as an essential analytical tool for characterization of the chemical compositions, connectivity, stability, shape, and size of metallo-supramolecules, as well as kinetic and thermodynamic features of self-assembly processes."
